id,source,name,neighborhood_overview,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
36690,city scrape,Mo's Cozy Cabana,"The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby.",157752,Monique,03/07/10,Belize,within an hour,100%,90%,t,5,5,t,"Caye Caulker, Belize",Belize Islands,Belize,17.74832,-88.02474,Tiny home,Entire home/apt,2,1,0,1,"[""Coffee maker: drip coffee maker"", ""Outdoor furniture"", ""Air conditioning"", ""Backyard"", ""Hammock"", ""Kayak"", ""Fire extinguisher"", ""Conditioner"", ""Oven"", ""Clothing storage: closet"", ""Portable fans"", ""Mosquito net"", ""Board games"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""Private patio or balcony"", ""Outdoor dining area"", ""Refrigerator"", ""First aid kit"", ""Dining table"", ""Toaster"", ""Single level home"", ""Gas stove"", ""Beach essentials"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Shower gel"", ""Dishes and silverware"", ""Hangers"", ""Private entrance"", ""Room-darkening shades"", ""Cleaning products"", ""Freezer"", ""Coffee"", ""Body soap"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Books and reading material"", ""Kitchen"", ""Wine glasses"", ""Essentials"", ""Long term stays allowed""]",$111.00,3,60,3,t,4,5,8,230,452,34,3,13/08/10,20/12/24,4.82,4.83,4.88,f,4,4,0,0,2.58
120115,city scrape,"Seaside Villas 4 2nd Flr - Pool, Beach, Jacuzzi","Right on the beach, this building is in a prime location just one block south of the Caribbean Sprinter Water taxi and another half a block from the San Pedro Water Taxi. The shops, bars and restaurants are all close by on Front Street just to the west. The entrance for the Building is on the side - Adventurer Street. Easy to find on a map app.",604999,Bobbi,19/05/11,"Belize City, Belize",within an hour,100%,100%,t,20,20,t,"Caye Caulker Village , Belize",Belize Islands,Belize,17.74166,-88.02395,Entire condo,Entire home/apt,6,2,2,2,"[""Outdoor furniture"", ""Dedicated workspace"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Fire extinguisher"", ""Oven"", ""Shared hot tub"", ""Luggage dropoff allowed"", ""Shampoo"", ""Smoke alarm"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Shared pool"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""BBQ grill"", ""AC - split type ductless system"", ""Free parking on premises"", ""Kitchen"", ""Patio or balcony"", ""Stove"", ""Essentials"", ""TV with standard cable""]",$603.00,2,730,2,t,0,0,4,242,68,11,0,18/04/17,05/11/24,4.81,4.91,4.71,t,19,19,0,0,0.73
120116,city scrape,Valarosa - Sweet cottage,"Valarosa is on Avenida Chechem in a popular residential area which is generally quiet, though not immune to the sounds of village life. You might hear distant music, or animal noises. Nearby is the Suggestion Gourmet french bakery. In the morning you may hear a man on a bicycle cart tooting his horn - he sells a mound of hot fresh corn tortilla for BZ$2.50. Two blocks away is the small Caye Caulker airstrip which takes light aircraft.",604999,Bobbi,19/05/11,"Belize City, Belize",within an hour,100%,100%,t,20,20,t,"Caye Caulker Village , Belize",Belize Islands,Belize,17.738116,-88.028534,Entire home,Entire home/apt,2,1,1,1,"[""Air conditioning"", ""Dedicated workspace"", ""Free parking on premises"", ""Hot water"", ""Wifi"", ""Cooking basics"", ""Coffee maker"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Kitchen"", ""Patio or balcony"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""TV with standard cable"", ""Long term stays allowed"", ""Host greets you""]",$197.00,2,28,2,t,18,22,43,311,85,15,0,24/02/16,30/07/24,4.59,4.72,4.58,t,19,19,0,0,0.79
152512,city scrape,"Toucan-kit, ac, wifi, bike, tropical gardens, pool","LOVE this area of Placencia; quiet, day & night, secure, short walk to beautiful beach as well as local shops & restaurants.",733857,Jacqueline Ann,23/06/11,"Placencia, Belize",within an hour,100%,100%,f,5,10,t,"Placencia, Stann Creek, Belize",Stann Creek Mainland,Stann Creek,16.52693,-88.36864,Entire serviced apartment,Entire home/apt,2,1,1,1,"[""Outdoor furniture"", ""Dedicated workspace"", ""Hot water"", ""Coffee maker"", ""Fire extinguisher"", ""Oven"", ""Barbecue utensils"", ""Shared outdoor pool - available all year, open specific hours"", ""42 inch HDTV with Chromecast, Disney+, Fire TV, Hulu, Netflix"", ""Paid dryer \u2013 In building"", ""Luggage dropoff allowed"", ""Whirlpool stainless steel gas stove"", ""Smoke alarm"", ""Private patio or balcony"", ""Outdoor dining area"", ""Refrigerator"", ""Dining table"", ""Toaster"", ""Single level home"", ""Bikes"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Garden view"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Private entrance"", ""Room-darkening shades"", ""Cleaning products"", ""AC - split type ductless system"", ""Pool view"", ""BBQ grill"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Free washer \u2013 In building"", ""Resort access"", ""Kitchen"", ""Wine glasses"", ""Essentials"", ""Ceiling fan"", ""Long term stays allowed""]",$252.00,7,365,7,t,11,11,11,127,73,2,0,28/11/11,25/03/24,4.86,4.89,4.86,t,5,4,0,0,0.46
152922,city scrape,rent a private room in a house,"Quiet neighbourhood, close to shopping centre, restaurants and market.",735525,Jennifer,23/06/11,"Belmopan, Belize",a few days or more,0%,17%,f,1,1,t,"Belmopan, Cayo, Belize",Cayo,Cayo,17.25428,-88.76771,Private room in home,Private room,1,1,1,1,"[""Air conditioning"", ""Lock on bedroom door"", ""Free parking on premises"", ""Hot water"", ""Wifi"", ""Cooking basics"", ""Free street parking"", ""Fire extinguisher"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""TV with standard cable"", ""Host greets you""]",$52.00,1,730,1,t,30,60,84,359,12,1,0,30/03/16,13/04/24,4.58,4.92,4.83,f,1,0,1,0,0.11
171294,previous scrape,King Deluxe,5 minutes walk to center of town<br /><br />Branch Mouth where the two rivers meet 15 minute walk<br /><br />You can also rent golf carts by the hour to drive around the town.,817242,Michael,13/07/11,"San Ignacio, Belize",within an hour,100%,100%,f,7,8,t,"San Ignacio, Cayo, Belize",Cayo,Cayo,17.16427,-89.06909,Private room in resort,Private room,2,,1,,"[""Outdoor furniture"", ""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Hot water"", ""Mini fridge"", ""Hammock"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shampoo"", ""Smoke alarm"", ""Pets allowed"", ""Private patio or balcony"", ""First aid kit"", ""Pool"", ""Paid dryer"", ""Wifi"", ""Lake access"", ""Sun loungers"", ""Iron"", ""Hangers"", ""Private entrance"", ""Room-darkening shades"", ""Free parking on premises"", ""Safe"", ""Paid washer"", ""HDTV with Netflix"", ""Essentials"", ""Ceiling fan"", ""Long term stays allowed""]",,1,730,1,t,18,36,47,299,44,1,0,16/03/14,12/02/24,4.44,4.42,4.52,t,7,3,4,0,0.33
171301,city scrape,Cabana in a Rainforest Setting,We have 2 Restaurants nearby Guava Limb and Hodes also we have a community park on the corner,817242,Michael,13/07/11,"San Ignacio, Belize",within an hour,100%,100%,f,7,8,t,"San Ignacio, Cayo, Belize",Cayo,Cayo,17.16435,-89.06896,Hut,Entire home/apt,4,1,1,2,"[""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Hot water"", ""Fire extinguisher"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Smoke alarm"", ""Pets allowed"", ""Waterfront"", ""Private patio or balcony"", ""Gym"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Cooking basics"", ""Wifi"", ""Lake access"", ""Bed linens"", ""Shared pool"", ""Iron"", ""Clothing storage"", ""Hangers"", ""Room-darkening shades"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Dryer"", ""Safe"", ""Washer"", ""Exterior security cameras on property"", ""Essentials"", ""TV with standard cable"", ""Long term stays allowed""]",$270.00,1,730,1,t,16,37,52,251,116,9,1,05/03/14,16/12/24,4.55,4.48,4.59,t,7,3,4,0,0.88
254291,city scrape,Finca Placencia oceanfront Private Beach House,"Location location location. Walk next door to Francis Ford Coppola's turtle inn where they have a lovely romantic restaurant with wood fired pizza. Just north of us are a few excellent restaurants as well. Another great Italian restaurant in Los porticos villas and further down the beach, mariposa serving 3 meals a day",1512929,Andrea,17/12/11,"Placencia, Belize",within a few hours,90%,96%,f,4,5,t,"Placencia, Stann Creek, Belize",Stann Creek Mainland,Stann Creek,16.53274,-88.35957,Entire home,Entire home/apt,4,1,1,3,"[""Outdoor furniture"", ""Hair dryer"", ""Hot water"", ""Shared patio or balcony"", ""Hammock"", ""Beach view"", ""Fire extinguisher"", ""Oven"", ""Portable fans"", ""Barbecue utensils"", ""Baking sheet"", ""Mosquito net"", ""Board games"", ""Host greets you"", ""Luggage dropoff allowed"", ""Ocean view"", ""Babysitter recommendations"", ""Hot water kettle"", ""Smoke alarm"", ""Pets allowed"", ""Bathtub"", ""Waterfront"", ""Outdoor dining area"", ""Refrigerator"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Toaster"", ""Dining table"", ""Outdoor shower"", ""Private backyard \u2013 Not fully fenced"", ""Bikes"", ""Single level home"", ""TV"", ""Beach essentials"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Garden view"", ""Microwave"", ""Blender"", ""Iron"", ""Courtyard view"", ""Dishes and silverware"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Private entrance"", ""Smoking allowed"", ""Room-darkening shades"", ""Cleaning products"", ""Freezer"", ""BBQ grill"", ""Free parking on premises"", ""Coffee"", ""Body soap"", ""Clothing storage: wardrobe and dresser"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Rice maker"", ""Crib"", ""Laundromat nearby"", ""Safe"", ""Paid washer"", ""Books and reading material"", ""Children\u2019s books and toys"", ""Kitchen"", ""Stove"", ""Wine glasses"", ""Essentials"", ""Resort access"", ""Ceiling fan"", ""Long term stays allowed""]",$245.00,1,365,1,t,11,15,22,295,150,11,2,20/06/12,25/12/24,4.64,4.7,4.66,f,4,4,0,0,0.98
261882,city scrape,Finca Placencia Beachfront treetop cabana,Finca is located next to Turtle Inn on 200 feet of beachfront.<br /> I chose to settle in Placencia because I fell in love with the village which has a tightly knit community and I did not feel like I stuck out as a gringo there. FInca is just a quick ride out of town so you have some privacy and still have easy access to the village.,1512929,Andrea,17/12/11,"Placencia, Belize",within a few hours,90%,96%,f,4,5,t,"Placencia, Stann Creek, Belize",Stann Creek Mainland,Stann Creek,16.53168,-88.36014,Entire bungalow,Entire home/apt,3,1,0,2,"[""Coffee maker: drip coffee maker, french press"", ""Hair dryer"", ""Hot water"", ""Mini fridge"", ""Hammock"", ""Beach view"", ""Fire extinguisher"", ""Conditioner"", ""Portable fans"", ""Barbecue utensils"", ""Mosquito net"", ""Host greets you"", ""Luggage dropoff allowed"", ""Ocean view"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""Pets allowed"", ""Waterfront"", ""Private patio or balcony"", ""Outdoor dining area"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Toaster"", ""Outdoor shower"", ""Bikes"", ""Sea view"", ""Cooking basics"", ""Wifi"", ""Shared backyard \u2013 Not fully fenced"", ""Bed linens"", ""Garden view"", ""Blender"", ""Courtyard view"", ""Clothing storage"", ""Dishes and silverware"", ""Housekeeping - available at extra cost"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Private entrance"", ""Smoking allowed"", ""Cleaning products"", ""BBQ grill"", ""Free parking on premises"", ""Coffee"", ""Body soap"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Laundromat nearby"", ""Resort access"", ""Safe"", ""Exterior security cameras on property"", ""Kitchenette"", ""Wine glasses"", ""Stove"", ""Essentials"", ""Ceiling fan"", ""Long term stays allowed""]",$208.00,1,365,1,t,9,32,52,327,189,5,0,28/02/12,20/04/24,4.79,4.81,4.8,f,4,4,0,0,1.21
308361,city scrape,Villa San Juan,,1586187,Jorge Omar,09/01/12,,within a day,100%,100%,f,1,1,t,,Cayo,Cayo,17.25719,-88.77812,Private room in bed and breakfast,Private room,2,1,1,1,"[""Air conditioning"", ""Hot water"", ""Wifi"", ""Dryer"", ""Washer"", ""Breakfast"", ""TV with standard cable"", ""Pool""]",$232.00,1,1125,1,t,15,45,75,350,14,3,0,30/11/14,26/11/24,4.93,5,4.85,f,1,0,1,0,0.11
